fullName, eventId, contributionTitle, contributionDescription
'Ifrim{comma} Ioana', '773049', 'End-to-end Deep Learning Fast Simulation Framework', 'To address the increase in computational costs and speed requirements for simulation related to the higher luminosity and energy of future accelerators a number of Fast Simulation tools based on Deep Learning DL procedures have been developed. We discuss the features and implementation of an end-to-end framework which integrates DL simulation methods with an existing Full Simulations toolkit Geant4.  We give a description of the key concepts and challenges in developing a production environment level Simulation framework based on Deep Neural Network DNN models designed for High Energy Physics HEP problem domain and trained on HEP data. We discuss data generation simplified calorimeters simulations obtained with the Geant4 toolkit and processing DNN architecture evaluation procedures and API integration. We address the challenge of distributional shifts in the input data dependent on calorimeter type and evaluate the response of trained networks and propose a general framework for physics validation of DL models in HEP.'
'Zaborowska{comma} Anna', '773049', 'End-to-end Deep Learning Fast Simulation Framework', 'To address the increase in computational costs and speed requirements for simulation related to the higher luminosity and energy of future accelerators a number of Fast Simulation tools based on Deep Learning DL procedures have been developed. We discuss the features and implementation of an end-to-end framework which integrates DL simulation methods with an existing Full Simulations toolkit Geant4.  We give a description of the key concepts and challenges in developing a production environment level Simulation framework based on Deep Neural Network DNN models designed for High Energy Physics HEP problem domain and trained on HEP data. We discuss data generation simplified calorimeters simulations obtained with the Geant4 toolkit and processing DNN architecture evaluation procedures and API integration. We address the challenge of distributional shifts in the input data dependent on calorimeter type and evaluate the response of trained networks and propose a general framework for physics validation of DL models in HEP.'
'Pokorski{comma} Witold', '773049', 'End-to-end Deep Learning Fast Simulation Framework', 'To address the increase in computational costs and speed requirements for simulation related to the higher luminosity and energy of future accelerators a number of Fast Simulation tools based on Deep Learning DL procedures have been developed. We discuss the features and implementation of an end-to-end framework which integrates DL simulation methods with an existing Full Simulations toolkit Geant4.  We give a description of the key concepts and challenges in developing a production environment level Simulation framework based on Deep Neural Network DNN models designed for High Energy Physics HEP problem domain and trained on HEP data. We discuss data generation simplified calorimeters simulations obtained with the Geant4 toolkit and processing DNN architecture evaluation procedures and API integration. We address the challenge of distributional shifts in the input data dependent on calorimeter type and evaluate the response of trained networks and propose a general framework for physics validation of DL models in HEP.'
'Piilonen{comma} Leo', '773049', 'Generative Adversarial Network for Background Generation in the KLM subsystem at Belle II', "The second-generation Belle II experiment at the SuperKEKB colliding-beam accelerator in Japan searches for new-physics signatures and studies the behaviour of heavy quarks and leptons produced in electron-positron collisions. The KLM K-long and Muon subsystem of Belle II identifies long-lived neutral kaons via hadronic-shower byproducts and muons via their undeflected penetration through dense matter. GEANT4-based Monte Carlo simulations of physics processes in Belle II are supplemented by the overlay of additional hits on each event sampled from a curated library of background events. We describe the proposed use of a generative adversarial network to construct dynamically these background overlay hits in the KLM and compare the GAN's performance relative to curated-library approach."
'Spataro{comma} Stefano', '773049', 'GTS - Garfield-based Triple-GEM Simulator', 'Triple-GEM detectors are gaseous devices used in high energy physics to measure the path of the particles which cross them. The characterisation of triple GEM detectors and the estimation of the performance for real data experiments require a complete comprehension of the mechanisms which transform the passage of one particle in the detector into electric signals and dedicated MonteCarlo simulations are needed. In this work we will describe GTS Garfield-based Triple-gem Simulator a MonteCarlo code which has been developed to simulate the detector response from the passage of particles inside triple GEMs. The software takes into account the processes from the primary ionization up to the signal formation e.g. avalanche multiplication and the effects of the diffusion on the signal in the gas volume. The software uses a parametrization of the variables of interest to reproduce the detector response based on Garfield a well known software in literature that already performs this kind of simulation but with a high consumption of CPU time: GTS reduces significantly the computation time. In addition to the detector response the simulation of the APV-25 electronics is implemented and the output is used to reconstruct the particle position with the Charge Centroid CC and the micro-Time Projection Chamber µTPC methods for the first time in a triple-GEM simulator. A comparison of the simulated performance and the one collected in test beams is used to tuned the parameters used in GTS. Results in different conditions of magnetic field high voltage settings and incident angle will be shown.'
'Vitali{comma} Giacomo', '773049', 'Fast calorimeter simulation in the LHCb Gauss framework', 'In HEP experiments CPU resources required by MC simulations are constantly growing and becoming the dominant fraction of the total computing power. At the same time the pace of performance improvements given by technology is slowing down so the only solution is a more efficient use of resources. Efforts are ongoing in the LHC experiment collaborations to provide multiple options for simulating events in a faster way when higher statistics is needed.\n\nIn this talk we describe the solution adopted in Gauss the LHCb simulation software framework to selectively exclude particles from being simulated by the Geant4 toolkit and to insert the corresponding hits generated in a faster way. The approach integrated within the Geant4 toolkit has been applied to the LHCb calorimeter but it could also be used for other subdetectors. The hits generation can be carried out by any external tool e.g. by a static library of showers or machine-learning techniques. The implementation of the calorimeter hit generation based on a subhit library is described. Its distinctive features as well as detailed timing measurements and a comparison with the default simulation for reference physical quantities are presented.'
'Rama{comma} Matteo', '773049', 'Fast calorimeter simulation in the LHCb Gauss framework', 'In HEP experiments CPU resources required by MC simulations are constantly growing and becoming the dominant fraction of the total computing power. At the same time the pace of performance improvements given by technology is slowing down so the only solution is a more efficient use of resources. Efforts are ongoing in the LHC experiment collaborations to provide multiple options for simulating events in a faster way when higher statistics is needed.\n\nIn this talk we describe the solution adopted in Gauss the LHCb simulation software framework to selectively exclude particles from being simulated by the Geant4 toolkit and to insert the corresponding hits generated in a faster way. The approach integrated within the Geant4 toolkit has been applied to the LHCb calorimeter but it could also be used for other subdetectors. The hits generation can be carried out by any external tool e.g. by a static library of showers or machine-learning techniques. The implementation of the calorimeter hit generation based on a subhit library is described. Its distinctive features as well as detailed timing measurements and a comparison with the default simulation for reference physical quantities are presented.'
'Sevior{comma} Martin', '773049', 'Prompt calibration automation at Belle II', 'In March 2019 the Belle II detector began collecting data from $e^{+}e^{-}$ collisions at the SuperKEKB electron-positron collider. Belle II aims to collect a data sample 50 times larger than the previous generation of B-Factories. For Belle II analyses to be competitive it is crucial that calibration constants for this data are calculated promptly prior to the main data reconstruction.\n\nTo accomplish this goal a Python plugin package has been developed based on the open-source Apache Airflow package; using Directed Acyclic Graphs DAGs to describe the ordering of processes and Flask to provide admin webpages. DAGs for calibration process submission monitoring of incoming data files and validation of calibration constants have all been created to help automate the calibration procedure. Connections to the DIRAC grid services are used to synchronize user accounts so that a secure single sign-on for Belle II collaborative services is maintained. A Flask plugin has also been developed to extend and complement the built-in Airflow admin and monitoring webpages. Including adding role-based access using the X.509 certificates and Virtual Organization Membership Service VOMS roles of Belle II users.\n\nWe will present the design of this software and how this new software package is being used in the early stages of Belle II data taking.'
'Dossett{comma} David', '773049', 'Prompt calibration automation at Belle II', 'In March 2019 the Belle II detector began collecting data from $e^{+}e^{-}$ collisions at the SuperKEKB electron-positron collider. Belle II aims to collect a data sample 50 times larger than the previous generation of B-Factories. For Belle II analyses to be competitive it is crucial that calibration constants for this data are calculated promptly prior to the main data reconstruction.\n\nTo accomplish this goal a Python plugin package has been developed based on the open-source Apache Airflow package; using Directed Acyclic Graphs DAGs to describe the ordering of processes and Flask to provide admin webpages. DAGs for calibration process submission monitoring of incoming data files and validation of calibration constants have all been created to help automate the calibration procedure. Connections to the DIRAC grid services are used to synchronize user accounts so that a secure single sign-on for Belle II collaborative services is maintained. A Flask plugin has also been developed to extend and complement the built-in Airflow admin and monitoring webpages. Including adding role-based access using the X.509 certificates and Virtual Organization Membership Service VOMS roles of Belle II users.\n\nWe will present the design of this software and how this new software package is being used in the early stages of Belle II data taking.'
'Van Buren{comma} Gene', '773049', 'Dealing with High Background Rates in Simulations of the STAR Heavy Flavor Tracker', 'The STAR Heavy Flavor Tracker HFT has enabled a rich physics program providing important insights into heavy quark behavior in heavy ion collisions.  Acquiring data during the 2014 through 2016 runs at the Relativistic Heavy Ion Collider RHIC the HFT consisted of four layers of precision silicon sensors.   Used in concert with the Time Projection Chamber TPC the HFT enables the reconstruction and topological identification of tracks arising from charmed hadron decays.  The ultimate understanding of the detector efficiency and resolution demands large quantities of high quality simulations accounting for the precise alignment of sensors and the detailed response of the detectors and electronics to the incident tracks.  The background environment presented additional challenges as simulating the significant rates from pileup events accumulated during the long integration times of the tracking detectors could have quickly exceeded the available computational resources and the relative contributions from different  sources was unknown.  STAR has long addressed these issues by embedding simulations into background events directly sampled during data taking at the experiment.  This technique has the advantage of providing a completely realistic picture of the dynamic background environment while introducing minimal additional computational overhead compared to simulation of the primary collision alone thus scaling to any luminosity.  We will discuss how STAR has applied this technique to the simulation of the HFT and will show how the careful consideration of misalignment of precision detectors and calibration uncertainties results in the detailed reproduction of basic observables such as track projection to the primary vertex.  We will further summarize the experience and lessons learned in applying these techniques to heavy-flavor simulations and discuss recent results.'
'Radhakrishnan{comma} Sooraj Krishnan', '773049', 'Dealing with High Background Rates in Simulations of the STAR Heavy Flavor Tracker', 'The STAR Heavy Flavor Tracker HFT has enabled a rich physics program providing important insights into heavy quark behavior in heavy ion collisions.  Acquiring data during the 2014 through 2016 runs at the Relativistic Heavy Ion Collider RHIC the HFT consisted of four layers of precision silicon sensors.   Used in concert with the Time Projection Chamber TPC the HFT enables the reconstruction and topological identification of tracks arising from charmed hadron decays.  The ultimate understanding of the detector efficiency and resolution demands large quantities of high quality simulations accounting for the precise alignment of sensors and the detailed response of the detectors and electronics to the incident tracks.  The background environment presented additional challenges as simulating the significant rates from pileup events accumulated during the long integration times of the tracking detectors could have quickly exceeded the available computational resources and the relative contributions from different  sources was unknown.  STAR has long addressed these issues by embedding simulations into background events directly sampled during data taking at the experiment.  This technique has the advantage of providing a completely realistic picture of the dynamic background environment while introducing minimal additional computational overhead compared to simulation of the primary collision alone thus scaling to any luminosity.  We will discuss how STAR has applied this technique to the simulation of the HFT and will show how the careful consideration of misalignment of precision detectors and calibration uncertainties results in the detailed reproduction of basic observables such as track projection to the primary vertex.  We will further summarize the experience and lessons learned in applying these techniques to heavy-flavor simulations and discuss recent results.'
'LAURET{comma} Jerome', '773049', 'Dealing with High Background Rates in Simulations of the STAR Heavy Flavor Tracker', 'The STAR Heavy Flavor Tracker HFT has enabled a rich physics program providing important insights into heavy quark behavior in heavy ion collisions.  Acquiring data during the 2014 through 2016 runs at the Relativistic Heavy Ion Collider RHIC the HFT consisted of four layers of precision silicon sensors.   Used in concert with the Time Projection Chamber TPC the HFT enables the reconstruction and topological identification of tracks arising from charmed hadron decays.  The ultimate understanding of the detector efficiency and resolution demands large quantities of high quality simulations accounting for the precise alignment of sensors and the detailed response of the detectors and electronics to the incident tracks.  The background environment presented additional challenges as simulating the significant rates from pileup events accumulated during the long integration times of the tracking detectors could have quickly exceeded the available computational resources and the relative contributions from different  sources was unknown.  STAR has long addressed these issues by embedding simulations into background events directly sampled during data taking at the experiment.  This technique has the advantage of providing a completely realistic picture of the dynamic background environment while introducing minimal additional computational overhead compared to simulation of the primary collision alone thus scaling to any luminosity.  We will discuss how STAR has applied this technique to the simulation of the HFT and will show how the careful consideration of misalignment of precision detectors and calibration uncertainties results in the detailed reproduction of basic observables such as track projection to the primary vertex.  We will further summarize the experience and lessons learned in applying these techniques to heavy-flavor simulations and discuss recent results.'
'Dong{comma} Xin', '773049', 'Dealing with High Background Rates in Simulations of the STAR Heavy Flavor Tracker', 'The STAR Heavy Flavor Tracker HFT has enabled a rich physics program providing important insights into heavy quark behavior in heavy ion collisions.  Acquiring data during the 2014 through 2016 runs at the Relativistic Heavy Ion Collider RHIC the HFT consisted of four layers of precision silicon sensors.   Used in concert with the Time Projection Chamber TPC the HFT enables the reconstruction and topological identification of tracks arising from charmed hadron decays.  The ultimate understanding of the detector efficiency and resolution demands large quantities of high quality simulations accounting for the precise alignment of sensors and the detailed response of the detectors and electronics to the incident tracks.  The background environment presented additional challenges as simulating the significant rates from pileup events accumulated during the long integration times of the tracking detectors could have quickly exceeded the available computational resources and the relative contributions from different  sources was unknown.  STAR has long addressed these issues by embedding simulations into background events directly sampled during data taking at the experiment.  This technique has the advantage of providing a completely realistic picture of the dynamic background environment while introducing minimal additional computational overhead compared to simulation of the primary collision alone thus scaling to any luminosity.  We will discuss how STAR has applied this technique to the simulation of the HFT and will show how the careful consideration of misalignment of precision detectors and calibration uncertainties results in the detailed reproduction of basic observables such as track projection to the primary vertex.  We will further summarize the experience and lessons learned in applying these techniques to heavy-flavor simulations and discuss recent results.'
'Webb{comma} Jason', '773049', 'Dealing with High Background Rates in Simulations of the STAR Heavy Flavor Tracker', 'The STAR Heavy Flavor Tracker HFT has enabled a rich physics program providing important insights into heavy quark behavior in heavy ion collisions.  Acquiring data during the 2014 through 2016 runs at the Relativistic Heavy Ion Collider RHIC the HFT consisted of four layers of precision silicon sensors.   Used in concert with the Time Projection Chamber TPC the HFT enables the reconstruction and topological identification of tracks arising from charmed hadron decays.  The ultimate understanding of the detector efficiency and resolution demands large quantities of high quality simulations accounting for the precise alignment of sensors and the detailed response of the detectors and electronics to the incident tracks.  The background environment presented additional challenges as simulating the significant rates from pileup events accumulated during the long integration times of the tracking detectors could have quickly exceeded the available computational resources and the relative contributions from different  sources was unknown.  STAR has long addressed these issues by embedding simulations into background events directly sampled during data taking at the experiment.  This technique has the advantage of providing a completely realistic picture of the dynamic background environment while introducing minimal additional computational overhead compared to simulation of the primary collision alone thus scaling to any luminosity.  We will discuss how STAR has applied this technique to the simulation of the HFT and will show how the careful consideration of misalignment of precision detectors and calibration uncertainties results in the detailed reproduction of basic observables such as track projection to the primary vertex.  We will further summarize the experience and lessons learned in applying these techniques to heavy-flavor simulations and discuss recent results.'
'Mashinistov{comma} Ruslan', '773049', 'Experience supporting Belle II CDB server Infrastructure for Phase 3', 'The Belle II experiment is a leading world class B-physics experiment. In 2017 BNL became a member of the Belle II collaboration taking responsibility to maintain and develop the Conditions Database CDB—an archive of the detector’s conditions at the time of each recorded collision. This database tracks millions of variables—for example the detector’s level of electronic noise millimeter-scale movements of the detector due to the strong magnetic field and variations in electronic response due to small temperature changes—all of which need to be properly taken into account to make sense of Belle II’s measurements. The conditions database was built as an HTTP REST service using tools such as Swagger for the API interface development Payara for the Java EE application server and Squid for the caching proxy. This article presents the CDB design the deployment and continuous development at BNL including the changes to workflows authentication and API triggered by the experience of the first data taking. It will as well present details about the capabilities and performance during operation in 2018-2019.'
'Potekhin{comma} Maxim', '773049', 'Experience supporting Belle II CDB server Infrastructure for Phase 3', 'The Belle II experiment is a leading world class B-physics experiment. In 2017 BNL became a member of the Belle II collaboration taking responsibility to maintain and develop the Conditions Database CDB—an archive of the detector’s conditions at the time of each recorded collision. This database tracks millions of variables—for example the detector’s level of electronic noise millimeter-scale movements of the detector due to the strong magnetic field and variations in electronic response due to small temperature changes—all of which need to be properly taken into account to make sense of Belle II’s measurements. The conditions database was built as an HTTP REST service using tools such as Swagger for the API interface development Payara for the Java EE application server and Squid for the caching proxy. This article presents the CDB design the deployment and continuous development at BNL including the changes to workflows authentication and API triggered by the experience of the first data taking. It will as well present details about the capabilities and performance during operation in 2018-2019.'
'Ritter{comma} Martin', '773049', 'Experience supporting Belle II CDB server Infrastructure for Phase 3', 'The Belle II experiment is a leading world class B-physics experiment. In 2017 BNL became a member of the Belle II collaboration taking responsibility to maintain and develop the Conditions Database CDB—an archive of the detector’s conditions at the time of each recorded collision. This database tracks millions of variables—for example the detector’s level of electronic noise millimeter-scale movements of the detector due to the strong magnetic field and variations in electronic response due to small temperature changes—all of which need to be properly taken into account to make sense of Belle II’s measurements. The conditions database was built as an HTTP REST service using tools such as Swagger for the API interface development Payara for the Java EE application server and Squid for the caching proxy. This article presents the CDB design the deployment and continuous development at BNL including the changes to workflows authentication and API triggered by the experience of the first data taking. It will as well present details about the capabilities and performance during operation in 2018-2019.'
'Bracko{comma} Marko', '773049', 'Experience supporting Belle II CDB server Infrastructure for Phase 3', 'The Belle II experiment is a leading world class B-physics experiment. In 2017 BNL became a member of the Belle II collaboration taking responsibility to maintain and develop the Conditions Database CDB—an archive of the detector’s conditions at the time of each recorded collision. This database tracks millions of variables—for example the detector’s level of electronic noise millimeter-scale movements of the detector due to the strong magnetic field and variations in electronic response due to small temperature changes—all of which need to be properly taken into account to make sense of Belle II’s measurements. The conditions database was built as an HTTP REST service using tools such as Swagger for the API interface development Payara for the Java EE application server and Squid for the caching proxy. This article presents the CDB design the deployment and continuous development at BNL including the changes to workflows authentication and API triggered by the experience of the first data taking. It will as well present details about the capabilities and performance during operation in 2018-2019.'
'Gamboa{comma} Carlos Fernando', '773049', 'Experience supporting Belle II CDB server Infrastructure for Phase 3', 'The Belle II experiment is a leading world class B-physics experiment. In 2017 BNL became a member of the Belle II collaboration taking responsibility to maintain and develop the Conditions Database CDB—an archive of the detector’s conditions at the time of each recorded collision. This database tracks millions of variables—for example the detector’s level of electronic noise millimeter-scale movements of the detector due to the strong magnetic field and variations in electronic response due to small temperature changes—all of which need to be properly taken into account to make sense of Belle II’s measurements. The conditions database was built as an HTTP REST service using tools such as Swagger for the API interface development Payara for the Java EE application server and Squid for the caching proxy. This article presents the CDB design the deployment and continuous development at BNL including the changes to workflows authentication and API triggered by the experience of the first data taking. It will as well present details about the capabilities and performance during operation in 2018-2019.'
'Ratnikov{comma} Fedor', '773049', 'Fine Tuning of Generative Models for the Fast Simulation', 'The goal to obtain more precise physics results in current collider experiments drives the plans to significantly increase the instantaneous luminosity collected by the experiments. The increasing complexity of the events due to the resulting increased pileup requires new approaches to triggering reconstruction analysis\nand event simulation. The last task brings to a  critical problem: generating the significantly higher amount of Monte Carlo MC data required for analysis of the data collected at higher collider luminosity without a drastic increase in computing resources requires a significant speedup of the simulation algorithms. \nThe largest part of computer resources in simulation is currently spent in the detailed GEANT modeling of particles interacting with the material of the experimental apparatus in particular the shower development in electromagnetic and hadronic calorimeters. \nTo accelerate these computations approaches based on methods of sample creation by generative models may be used.\nHowever those properties and behaviours that are most important for the validity of generated data are sometimes not those for which the model mostly cares.\nIn this contribution we discuss possible approaches to making model sensitive to those properties that are most important for generated objects from the physics perspective.\nPractical cases will be presented to illustrate these approaches.'
'Dmitry{comma} Kovalev', '773049', 'Fine Tuning of Generative Models for the Fast Simulation', 'The goal to obtain more precise physics results in current collider experiments drives the plans to significantly increase the instantaneous luminosity collected by the experiments. The increasing complexity of the events due to the resulting increased pileup requires new approaches to triggering reconstruction analysis\nand event simulation. The last task brings to a  critical problem: generating the significantly higher amount of Monte Carlo MC data required for analysis of the data collected at higher collider luminosity without a drastic increase in computing resources requires a significant speedup of the simulation algorithms. \nThe largest part of computer resources in simulation is currently spent in the detailed GEANT modeling of particles interacting with the material of the experimental apparatus in particular the shower development in electromagnetic and hadronic calorimeters. \nTo accelerate these computations approaches based on methods of sample creation by generative models may be used.\nHowever those properties and behaviours that are most important for the validity of generated data are sometimes not those for which the model mostly cares.\nIn this contribution we discuss possible approaches to making model sensitive to those properties that are most important for generated objects from the physics perspective.\nPractical cases will be presented to illustrate these approaches.'
'Li{comma} Yulei', '773049', 'Improving the position resolution & energy of NICA/MPD ECAL with neural network', 'Electromagnetic calorimeter ECal is an important detector of the Multi Purpose Detector MPD at the NICA collider. A shashlyk-type electromagnetic calorimeter is selected as MPD ECal. The particular goals of the MPD ECal are to measure of spatial positions and energy of photons and electrons.  \nThis paper analyzes the position resolution & energy resolution of two ECal modules made by Tsinghua University using the data from a beam test in DESY. With a deep learning based algorithm the position resolution & energy resolution of the prototypes achieves less than 3.8 mm @1.6 GeV & 4.6% @1GeV electron beam which is much improved compared to that of traditional method.'
'Sheharyar{comma} Ali', '773049', 'Accelerating the simulation process in gas based charged particle detectors', 'Simulation is an important tool in the R&D process of detectors and their optimization. Fine tuning of detector parameters and running conditions can be achieved by means of advanced simulation tools thus reducing cost associated to prototyping.\nThis simulation however in complex detector geometries large volumes and high gas gain becomes computationally expensive and can run for several days or weeks.\nA common tool in charged particle detector simulation is the Garfield simulation suite. Although Garfield has been very critical to the  simulation of many Micro-Pattern Gas Detectors MPGD variants the simulation of recent complex structures such as multi-stage GEM and Micromegas is CPU consuming in particular in situations where a high gas gain and large volumes are needed.\n\nIn this work we have explored the possibility to reduce the computation time by following several approaches. On one hand we developed a parallel variant of the software allowing the simulation to be spread over hundreds of cores in a multicore distributed environment. Secondly with advanced profiling we optimized the electron avalanche development leading a speedup factor of 20 for large structures such as triple-GEM detectors. Moreover we also adapted the code to multi-threading architecture allowing more computational efficiency.\n\nWe will present the three strategies and the results in terms of speedup factor and parallel efficiency. Results from serial and parallel/optimized versions of the codes will also be presented and discussed.'
'Bouhali{comma} Othmane', '773049', 'Accelerating the simulation process in gas based charged particle detectors', 'Simulation is an important tool in the R&D process of detectors and their optimization. Fine tuning of detector parameters and running conditions can be achieved by means of advanced simulation tools thus reducing cost associated to prototyping.\nThis simulation however in complex detector geometries large volumes and high gas gain becomes computationally expensive and can run for several days or weeks.\nA common tool in charged particle detector simulation is the Garfield simulation suite. Although Garfield has been very critical to the  simulation of many Micro-Pattern Gas Detectors MPGD variants the simulation of recent complex structures such as multi-stage GEM and Micromegas is CPU consuming in particular in situations where a high gas gain and large volumes are needed.\n\nIn this work we have explored the possibility to reduce the computation time by following several approaches. On one hand we developed a parallel variant of the software allowing the simulation to be spread over hundreds of cores in a multicore distributed environment. Secondly with advanced profiling we optimized the electron avalanche development leading a speedup factor of 20 for large structures such as triple-GEM detectors. Moreover we also adapted the code to multi-threading architecture allowing more computational efficiency.\n\nWe will present the three strategies and the results in terms of speedup factor and parallel efficiency. Results from serial and parallel/optimized versions of the codes will also be presented and discussed.'
'Kim{comma} Doris Yangsoo', '773049', 'Status of the Belle II simulation library', 'The SuperKEKB collider and the Belle II experiment started Phase III at the beginning of 2019. The run is designed to collect a data sample of up to 50/ab at the collision energy of the Upsilon4S resonance for the next decade. The Belle II software library is created to ensure the accuracy and efficiency needed to \naccomodate this next generation B factory experiment.\n\nThe central component of the Belle II simulation library is Geant4 which is one of the most popular software packages used by high energy experiments. In this talk we will summarize the current status of the simulation library and will review the efforts to optimize the Geant4 functionalities in the Belle II specific environment. The discussed topics will include the optimization of the physics list and upgrade to Geant4 version 10.5.'
'Vokac{comma} Petr', '773049', 'Improvements in utilisation of the Czech national HPC center by ATLAS distributed computing', 'ATLAS distributed computing is allowed to opportunistically use resources of the Czech national HPC center IT4Innovations in Ostrava. The jobs are submitted via an ARC Compute Element ARC-CE installed at the grid site in Prague. Scripts and input files are shared between the ARC-CE and the shared file system located at the HPC via sshfs. This basic submission system has worked there since the end of 2017.\nSeveral improvements were made to increase the amount of resources that ATLAS can use. The most significant improvement was the migration of the submission system to enable pre-emptable jobs as the HPC center management made the decision to use pre-emption on opportunistic jobs. Another improvement of the submission system is related to the sshfs connection which seemed to be a limiting factor of the system. Now the submission system consists of several ARC-CE machines. Also various parameters of sshfs were tested in an attempt to increase throughput. As a result of the improvements the utilisation of the Czech national HPC center by the ATLAS distributed computing increased.'
'Chudoba{comma} Jiri', '773049', 'Improvements in utilisation of the Czech national HPC center by ATLAS distributed computing', 'ATLAS distributed computing is allowed to opportunistically use resources of the Czech national HPC center IT4Innovations in Ostrava. The jobs are submitted via an ARC Compute Element ARC-CE installed at the grid site in Prague. Scripts and input files are shared between the ARC-CE and the shared file system located at the HPC via sshfs. This basic submission system has worked there since the end of 2017.\nSeveral improvements were made to increase the amount of resources that ATLAS can use. The most significant improvement was the migration of the submission system to enable pre-emptable jobs as the HPC center management made the decision to use pre-emption on opportunistic jobs. Another improvement of the submission system is related to the sshfs connection which seemed to be a limiting factor of the system. Now the submission system consists of several ARC-CE machines. Also various parameters of sshfs were tested in an attempt to increase throughput. As a result of the improvements the utilisation of the Czech national HPC center by the ATLAS distributed computing increased.'
'Svatos{comma} Michal', '773049', 'Improvements in utilisation of the Czech national HPC center by ATLAS distributed computing', 'ATLAS distributed computing is allowed to opportunistically use resources of the Czech national HPC center IT4Innovations in Ostrava. The jobs are submitted via an ARC Compute Element ARC-CE installed at the grid site in Prague. Scripts and input files are shared between the ARC-CE and the shared file system located at the HPC via sshfs. This basic submission system has worked there since the end of 2017.\nSeveral improvements were made to increase the amount of resources that ATLAS can use. The most significant improvement was the migration of the submission system to enable pre-emptable jobs as the HPC center management made the decision to use pre-emption on opportunistic jobs. Another improvement of the submission system is related to the sshfs connection which seemed to be a limiting factor of the system. Now the submission system consists of several ARC-CE machines. Also various parameters of sshfs were tested in an attempt to increase throughput. As a result of the improvements the utilisation of the Czech national HPC center by the ATLAS distributed computing increased.'
